time_stamp,pm2.5_atm
2023-08-19T22:50:00Z,54.925
2023-08-19T23:00:00Z,54.61
2023-08-19T23:10:00Z,51.625
2023-08-19T23:20:00Z,48.967
2023-08-19T23:30:00Z,47.16
2023-08-19T23:40:00Z,48.872
2023-08-19T23:50:00Z,45.022
2023-08-20T00:00:00Z,44.643
2023-08-20T00:10:00Z,45.099000000000004
2023-08-20T00:20:00Z,48.629000000000005
2023-08-20T00:30:00Z,48.114999999999995
2023-08-20T00:40:00Z,45.608000000000004
2023-08-20T00:50:00Z,42.021
2023-08-20T01:00:00Z,43.733999999999995
2023-08-20T01:10:00Z,41.89
2023-08-20T01:20:00Z,39.632
2023-08-20T01:30:00Z,38.706
2023-08-20T01:40:00Z,36.891000000000005
2023-08-20T01:50:00Z,36.305
2023-08-20T02:00:00Z,35.107
2023-08-20T02:10:00Z,33.785
2023-08-20T02:20:00Z,32.089
2023-08-20T02:30:00Z,30.881
2023-08-20T02:40:00Z,28.83
2023-08-20T02:50:00Z,28.686
2023-08-20T03:00:00Z,28.208
2023-08-20T03:10:00Z,28.369
2023-08-20T03:20:00Z,29.306
2023-08-20T03:30:00Z,30.500999999999998
2023-08-20T03:40:00Z,31.36
2023-08-20T03:50:00Z,33.41
2023-08-20T04:00:00Z,35.788
2023-08-20T04:10:00Z,37.095
2023-08-20T04:20:00Z,38.535
2023-08-20T04:30:00Z,39.777
2023-08-20T04:40:00Z,41.534
2023-08-20T04:50:00Z,43.558
2023-08-20T05:00:00Z,44.766999999999996
2023-08-20T05:10:00Z,46.547
2023-08-20T05:20:00Z,47.576
2023-08-20T05:30:00Z,48.202
2023-08-20T05:40:00Z,48.807
2023-08-20T05:50:00Z,48.324
2023-08-20T06:00:00Z,48.489000000000004
2023-08-20T06:10:00Z,48.757000000000005
2023-08-20T06:20:00Z,48.869
2023-08-20T06:30:00Z,49.057
2023-08-20T06:40:00Z,48.531000000000006
2023-08-20T06:50:00Z,48.444
2023-08-20T07:00:00Z,47.349999999999994
2023-08-20T07:10:00Z,47.177
2023-08-20T07:20:00Z,46.434
2023-08-20T07:30:00Z,46.104
2023-08-20T07:40:00Z,45.665000000000006
2023-08-20T07:50:00Z,45.504000000000005
2023-08-20T08:00:00Z,44.9
2023-08-20T08:10:00Z,44.561
2023-08-20T08:20:00Z,44.349000000000004
2023-08-20T08:30:00Z,44.082
2023-08-20T08:40:00Z,44.132
2023-08-20T08:50:00Z,43.657
2023-08-20T09:00:00Z,43.607
2023-08-20T09:10:00Z,42.922
2023-08-20T09:20:00Z,42.348
2023-08-20T09:30:00Z,41.55200000000001
2023-08-20T09:40:00Z,41.385999999999996
2023-08-20T09:50:00Z,40.827
2023-08-20T10:00:00Z,39.966
2023-08-20T10:10:00Z,40.042
2023-08-20T10:20:00Z,39.685
2023-08-20T10:30:00Z,39.232
2023-08-20T10:40:00Z,39.257999999999996
2023-08-20T10:50:00Z,39.497
2023-08-20T11:00:00Z,39.329
2023-08-20T11:10:00Z,39.214
2023-08-20T11:20:00Z,39.247
2023-08-20T11:30:00Z,39.498999999999995
2023-08-20T11:40:00Z,39.572
2023-08-20T11:50:00Z,40.547
2023-08-20T12:00:00Z,41.006
2023-08-20T12:10:00Z,41.007
